index,fare
0,10.7
1,26.9
2,18.4
3,13.0
4,10.1
5,9.3
6,5.6
7,7.0
8,28.6
9,5.7
10,33.8
11,21.0
12,15.7
13,4.3
14,26.8
15,7.2
16,26.8
17,4.3
18,11.5
19,5.7
20,6.6
21,30.2
22,21.0
23,10.6
24,15.7
25,15.7
26,21.0
27,23.3
28,7.6
29,13.4
30,6.0
31,10.1
32,10.6
33,31.0
34,41.0
35,14.7
36,14.6
37,6.2
38,9.8
39,10.6
40,10.6
41,31.5
42,14.3
43,17.1
44,14.0
45,7.5
46,26.8
47,10.6
48,4.3
49,18.2
50,17.2
51,39.0
52,13.2
53,10.8
54,15.1
55,18.9
56,29.8
57,25.2
58,12.3
59,18.8
60,11.2
61,11.0
62,11.2
63,34.5
64,10.5
65,11.4
66,34.5
67,20.8
68,6.9
69,17.4
70,8.4
71,9.1
72,16.0
73,10.1
74,29.5
75,20.5
76,9.9
77,10.6
78,27.1
79,19.0
80,8.4
81,8.3
82,15.3
83,41.8
84,9.8
85,33.0
86,22.4
87,12.4
88,8.3
89,7.5
90,15.8
91,25.0
92,10.1
93,10.4
94,14.7
95,10.8
96,26.8
97,7.2
98,7.6
99,11.4
100,10.6
101,8.2
102,27.0
103,11.4
104,6.7
105,32.5
106,24.1
107,13.6
108,43.7
109,21.9
110,26.9
111,15.7
112,26.8
113,26.5
114,18.2
115,7.6
116,12.5
117,23.3
118,12.6
119,11.4
120,10.6
121,9.5
122,18.2
123,10.2
124,16.3
125,21.3
126,18.8
127,12.2
128,9.8
129,9.8
130,6.3
131,22.9
132,17.9
133,14.7
134,9.4
135,15.5
136,7.5
137,8.1
138,7.5
139,12.2
140,27.0
141,17.3
142,9.5
143,31.6
144,31.4
145,10.6
146,23.4
147,14.6
148,24.5
149,17.6
150,23.0
151,9.8
152,30.3
153,6.2
154,22.2
155,18.5
156,11.1
157,7.1
158,26.9
159,33.1
160,32.4
161,26.8
162,22.3
163,14.3
164,35.4
165,25.5
166,21.7
167,30.6
168,6.2
169,28.9
170,16.1
171,14.0
172,37.4
173,12.1
174,7.5
175,23.5
176,16.5
177,9.1
178,13.9
179,19.3
180,9.3
181,18.4
182,9.4
183,15.1
184,8.3
185,30.5
186,12.3
187,13.8
188,8.6
189,23.3
190,4.5
191,18.9
192,15.2
193,18.3
194,27.7
195,25.1
196,41.4
197,20.6
198,22.7
199,8.5
200,17.5
201,30.7
202,16.5
203,17.8
204,22.7
205,9.9
206,15.0
207,30.4
208,20.8
209,6.3
210,22.9
211,10.1
212,10.7
213,32.1
214,15.8
215,9.8
216,10.4
217,10.6
218,31.3
219,22.3
220,18.4
221,15.6
222,8.3
223,10.1
224,15.1
225,19.0
226,8.3
227,8.3
228,16.2
229,8.3
230,7.4
231,15.3
232,8.2
233,40.1
234,7.7
235,15.8
236,53.3
